seller_id,seller_city,total_sold
6560211a19b47992c3666cc44a7e94c0,sao paulo,2033
4a3ca9315b744ce9f8e9374361493884,ibitinga,1987
1f50f920176fa81dab994f9023523100,sao jose do rio preto,1931
cc419e0650a3c5ba77189a1882b7556a,santo andre,1775
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,1551
955fee9216a65b617aa5c0531780ce60,sao paulo,1499
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,1428
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,1364
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,1203
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,1171
